date,timezone,username,tweet,link,nlikes,nretweets,nreplies,hashtags,datetime_,date_dt,time_dt
2022-01-09 20:05:54,+0800,aliepanuar,Tutup je la sprm ni. Takde function,https://twitter.com/aliepanuar/status/1480148823460630530,1,1,1,[],2022-01-09 20:05:54,2022-01-09,20:05:54
2022-01-09 20:05:21,+0800,hakimkeemo,SPRM kelate ke yg buat surat? Eh,https://twitter.com/hakimkeemo/status/1480148687342882818,0,0,0,[],2022-01-09 20:05:21,2022-01-09,20:05:21
2022-01-09 20:05:07,+0800,_hakimrahim,Da boleh bubar sprm ni. Semua benak bebal tahap dewa da ni,https://twitter.com/_hakimrahim/status/1480148626437328897,0,0,0,[],2022-01-09 20:05:07,2022-01-09,20:05:07
2022-01-09 20:01:58,+0800,BoonSolomon,"@f4kr0ls00d @SPRMMalaysia Pernah ke SPRM berada di tahap paling tak HINA? 🤔🤔🤔HINA atau tak HINA, tetap kat tahap HINA jugak dan bknnya KEGEMILANGAN!!",https://twitter.com/BoonSolomon/status/1480147837685944321,2,2,0,[],2022-01-09 20:01:58,2022-01-09,20:01:58
2022-01-09 20:01:54,+0800,CharlieUKEY,@SPRMMalaysia 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 you fellows in SPRM are a big Malaysian joke,https://twitter.com/CharlieUKEY/status/1480147820007108609,0,0,0,[],2022-01-09 20:01:54,2022-01-09,20:01:54
2022-01-09 20:00:47,+0800,amir_firdaus89,Lol. Siapa je nk percaya. Lawak la korang ni. Level apa SPRM mcm ni 🤭🤭🤭,https://twitter.com/amir_firdaus89/status/1480147536887181313,1,0,1,[],2022-01-09 20:00:47,2022-01-09,20:00:47
2022-01-09 20:00:17,+0800,fahmizainol91,"AMK Pulau Pinang akan buat laporan polis terhadap ketua persuruhjaya SPRM, Azam Baki. Jemput hadir esok.  https://t.co/SNhEy0an6V",https://twitter.com/fahmizainol91/status/1480147410793873410,143,22,0,[],2022-01-09 20:00:17,2022-01-09,20:00:17
2022-01-09 20:00:14,+0800,MalaysiaGazette,Dr Asri Persoal Sokongan Kepimpinan SPRM #MGFlash  https://t.co/4e4A6xNoGw,https://twitter.com/MalaysiaGazette/status/1480147401276940288,1,1,2,['mgflash'],2022-01-09 20:00:14,2022-01-09,20:00:14
2022-01-09 20:00:01,+0800,berita757,"Berita757 | Sejauh mana ketelusan SPRM tangani rasuah?   Oleh : JOHAN ISHAK  Secara amnya, setiap institusi yang diwujudkan kerajaan sudah pasti miliki peranan dan objektif tertentu dalam memastikan urusan negara berjalan dengan sebaiknya terutama melibatkan kesejahteraan rakyat.  https://t.co/lOdcHOGQdR",https://twitter.com/berita757/status/1480147346633547782,0,0,0,[],2022-01-09 20:00:01,2022-01-09,20:00:01
2022-01-09 19:59:25,+0800,Zaifah52Hatim,@SPRMMalaysia SPRM employees paid  from tax payer pocket we Malaysian would  like to see fair investigation not a blind support.,https://twitter.com/Zaifah52Hatim/status/1480147193885446146,0,0,0,[],2022-01-09 19:59:25,2022-01-09,19:59:25
